,车型,车身颜色,车顶颜色,物料编号,发动机,变速器
1,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
2,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
3,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
4,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
5,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
6,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
7,A,闪耀黑,无对比颜色,AZ62GFF0000250,混动,两驱
8,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
9,A,闪耀黑,无对比颜色,BZ12GCY0000245,燃油,两驱
10,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
11,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
12,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
13,B,水晶珍珠白,石黑,AZ32GCY0000261,燃油,两驱
14,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
15,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
16,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
17,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
18,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
19,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
20,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
21,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
22,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
23,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
24,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
25,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
26,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
27,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
28,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
29,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
30,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
31,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
32,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
33,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
34,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
35,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
36,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
37,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
38,B,闪耀黑,无对比颜色,AZ64GCY0000262,燃油,四驱
39,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
40,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
41,A,探索绿,闪耀黑,BZ14GCY0000270,燃油,四驱
42,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
43,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
44,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
45,B,水晶珍珠白,无对比颜色,AZ62GFF0000273,混动,两驱
46,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
47,A,水晶珍珠白,石黑,AZ62GFF0000281,混动,两驱
48,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
49,B,飞行蓝,石黑,AZ62GCY0000243,燃油,两驱
50,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
51,B,飞行蓝,石黑,AZ62GCY0000301,燃油,两驱
52,B,天空灰,石黑,AZ64GCY0000256,燃油,四驱
53,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
54,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
55,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
56,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
57,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
58,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
59,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
60,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
61,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
62,B,闪耀黑,无对比颜色,AZ62GCY0000258,燃油,两驱
63,B,水晶珍珠白,石黑,AZ64GCY0000309,燃油,四驱
64,A,闪耀黑,无对比颜色,BZ14GCY0000304,燃油,四驱
65,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
66,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
67,B,闪耀黑,无对比颜色,AZ62GFF0000263,混动,两驱
68,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
69,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
70,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
71,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
72,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
73,B,飞行蓝,石黑,AZ62GFF0000252,混动,两驱
74,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
75,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
76,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
77,B,天空灰,石黑,AZ62GFF0000306,混动,两驱
78,B,水晶紫,石黑,AZ62GFF0000305,混动,两驱
79,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
80,A,天空灰,石黑,BZ14GCY0000292,燃油,四驱
81,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
82,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
83,A,闪耀黑,无对比颜色,BZ12GCY0000302,燃油,两驱
84,B,水晶珍珠白,石黑,AZ32GCY0000260,燃油,两驱
85,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
86,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
87,A,天空灰,石黑,AZ62GFF0000275,混动,两驱
88,B,天空灰,石黑,AZ62GFF0000253,混动,两驱
89,B,水晶珍珠白,石黑,AZ64GCY0000303,燃油,四驱
90,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
91,A,天空灰,石黑,BZ12GCY0000285,燃油,两驱
92,A,天空灰,石黑,BZ12GCY0000274,燃油,两驱
93,B,闪耀黑,无对比颜色,AZ32GCY0000265,燃油,两驱
94,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
95,B,天空灰,无对比颜色,AZ62GFF0000257,混动,两驱
96,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
97,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
98,A,闪耀黑,无对比颜色,BZ14GCY0000287,燃油,四驱
99,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
100,A,水晶珍珠白,石黑,BZ12GCY0000251,燃油,两驱
101,A,闪耀黑,无对比颜色,BZ12GCY0000247,燃油,两驱
102,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
103,B,天空灰,无对比颜色,AZ62GCY0000300,燃油,两驱
104,A,水晶珍珠白,石黑,BZ14GCY0000248,燃油,四驱
105,A,飞行蓝,石黑,BZ12GCY0000238,燃油,两驱
106,B,水晶珍珠白,石黑,AZ62GFF0000271,混动,两驱
107,B,水晶珍珠白,无对比颜色,AZ62GCY0000279,燃油,两驱
108,B,闪耀黑,无对比颜色,AZ62GCY0000276,燃油,两驱
109,A,水晶紫,石黑,AZ62GFF0000269,混动,两驱
